Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","125.22","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","807","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","50.99","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","59.65","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3768","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","101.55","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","155.93","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","1067","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","57.87","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","83.39","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2698","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","67.18","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","80.62","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","495","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","25.45","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","38.36","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2756","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","64.44","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","58.14","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","137","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","14.39","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","7.18","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2354","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","68.46","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","57.33","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","472","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","31.06","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","34.88","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3269","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","94.71","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","82","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","592","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","34.73","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","40.42","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2340","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","65.18","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2901","Total General","2017","2017","g/personne/jour","64.87","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","664","Disponibilité alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2017","2017","Kcal/personne/jour","380","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","26.45","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","22.01","Fc","Donnée calculée"
